id,followers,genres,name,popularity
0DheY5irMjBUeLybbCUEZ2,0.0,[],Armid & Amir Zare Pashai feat. Sara Rouzbehani,10
0DlhY15l3wsrnlfGio2bjU,5.0,[],ปูนา ภาวิณี,9
0DmRESX2JknGPQyO15yxg7,0.0,[],Sadaa,8
0DmhnbHjm1qw6NCYPeZNgJ,0.0,[],Tra'gruda,7
0Dn11fWM7vHQ3rinvWEl4E,2.0,[],Ioannis Panoutsopoulos,6
0DotfDlYMGqkbzfBhcA5r6,7.0,[],Astral Affect,6
0DqP3bOCiC48L8SM9gK4W8,1.0,[],Yung Seed,7
0Drs3maQb99iRglyTuxizI,0.0,[],Wi'Ma,8
0DsPeAi1gxPPnYjgpiEGSR,0.0,[],lentboy,9
0DtvnTxgZ9K5YaPS5jdlQW,20.0,[],addworks,10
